Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
NC2,,06/16/2010,10:51 AM,Dry,19.5,18.53,17,3,17,22.63,23.33,3.2,3.22,5.65,3.85,70.51,47.27,60.27,68.91,15.46,16.22,26.4065,14.779,7.66,7.45,1805.1,98.82,0.94,157.924,159.857,0.4,W,9,S,1,5.89,5.15,2.5,7.48,7.37,,,,,58,88,E,E,16,8,0.26,,0.206,,0.104,,0.402,,1.82,,0.257,,8,4.6,13.4,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC1,,12/09/2009,10:30 AM,Wet,8.41,10.28,23,3,20,12.86,20.66,1.47,2.38,4.9,3.96,45.4,40.26,55.5,76.82,9.9,15.74,13.5238,5.713,8.43,8.36,133.08,1.99,0,87.829,98.418,WEAK,N,10,NE,1,4.08,4.02,1,6.97,7.01,,,,,33000,3200,E,,200000,2400,0.466,,0.764,,0.143,,1.64,,2.72,,0.26,,7.4,0.8,5.4,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC0,,07/17/2012,10:07 AM,Dry,24.93,24.78,14,3,11,22.87,22.97,3.62,3.62,2.67,3.43,36.75,47.4,55.01,84.19,14.22,14.34,90.3664,88.4545,7.3,7.17,1798,634.88,24,97.728,91.253,WEAK,E,3,W,1,2.92,3.34,1,7.13,7.26,,,>,>,4000,4000,E,E,64,56,0.018,,0.439,,0.249,,1.531,,1.04,,0.42,,3,5,16.3,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,brown water,-73.931556,40.714961,Permanent
NC2,,02/04/2015,9:25 AM,Dry,,,17,,,,,,,,,,,,,,,,,,,,,,,,weak,W,calm,,1,9.93,9.79,3.5,7.75,7.79,,,,,460,290,,,320,201,0.49,,0.445,,0.071,,1.295,,2.442,2.338,0.222,,24,26,3.04,,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC2,,07/14/2004,11:12 AM,Wet,21.29,20.38,18,4,16,19.09,21.39,2.85,3.1,,,4.64,7.47,,,12.35,14.32,,,,,,,,,,0.3,W,Calm,Calm,1,0.78,1.27,2,6.78,6.86,,,,,4000,4000,,,,,0.161,,0.753,,,,1.44,,2.01,,0.304,,1.8,1.2,2.67,,6,,,,,0.37,0.59,,,,,,,,,,,,,,,,,,,,,,*,,-73.935500,40.728833,Permanent
NC0,,06/03/2015,9:15 AM,Wet,16.48,16.32,10.2,3,14,20.52,21.19,2.74,2.81,4.91,4.77,56.9,55.34,65.91,67.12,14.54,15.09,2.0052,1.9559,,,,1922.9,17.34,254.159,292.005,0.2,NE,6,W,1,5.2,5.11,3,7.16,7.17,,,,,"33,000",70000,,,6800,7700,0.267,,0.692,,0.107,,1.019,,1.899,1.865,0.312,,11,16,2.73,,,,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,"Aeration pump system opperational, iide the channel, between  NC-1 and NC-0.",-73.931556,40.714961,Permanent
NC1,,01/16/2008,10:48 AM,Wet,5.65,5.73,19,5,20,17.7,17.53,1.83,1.82,,,,,,,13.94,13.8,,,,,,,,,,0.4,S,7,N,1,3.79,4.18,2,7.08,7.08,,,,,800,410,,,780,575,0.461,,0.787,,0.112,,1.86,,3.78,,0.216,,12.2,12,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC0,,08/14/2012,10:21 AM,Dry,25.83,25.51,16,3,14,23.11,23.81,3.72,3.8,2.94,0.22,41.23,3.08,27.63,78,14.14,14.76,210.3093,35.6044,8.17,7.13,925.36,992.25,2.89,-34.311,-194.92,WEAK,E,CALM,,1,6.38,6.39,2,7.66,7.69,,,,,8900,4900,E,E,12,16,0.01,,0.357,,0.22,,1.233,,1.27,,0.401,,8,5,44.6,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,03/06/2013,10:45 AM,Dry,4.05,3.77,23,3,16,21.54,23.79,2.1,2.28,1.1,1.15,9.67,10.21,,,17.09,18.9,66.0398,46.4575,,,,,,,,0.2,W,13,E,1,14.3,12.54,3.5,8.21,8.22,,,,<,19,4,E,E,8,4,0.336,,0.28,,0.03,,0.672,,0.626,,0.121,,9,8.5,32.5,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,rough and windy surface.  current speeds estimated due to high wind,-73.946167,40.737167,Permanent
NC0,,04/25/2007,10:19 AM,Dry,13.69,8.35,13,3.9,11.1,11.69,15.13,1.53,1.7,4.27,0.34,44.33,3.16,,,8.3,11.67,,,,,,,,199.66,-146.487,0.1,W,8,ENE,1,2.34,2.66,4,6.91,6.91,,,,,25,25,,,50,62,0.34,,0.619,,0.133,,1.65,,3.13,,0.198,,13,12.25,1,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC1,,08/18/2004,10:27 AM,Wet,23.24,23.04,22,5,23,20.27,20.79,3.14,3.2,,,5.24,1.76,57.32,80,12.74,13.18,,,,,,,,,,0.0 CALM,0.0 CALM,,,1,0.27,0.21,3.5,6.54,6.57,,,,,880,520,,,144,144,0.102,,0.832,,0.273,,1.7,,2.94,,0.412,,7,7.4,11.64,,12.8,,,3.09,,0.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC0,,07/16/2013,3:18 PM,Dry,26.11,21.36,19,3,17,20.08,22.05,3.29,3.26,15.43,0.25,214.27,3.28,107.54,15.24,11.79,14.58,9.1396,16.6797,,,2143.2,1728.8,4.24,,,weak,W,5,E,1,10.3,10.22,1,8.02,8.02,,,,,310,200,E,E,12,8,0.012,,0.279,,0.18,,1.4,,3.15,,0.348,,10,13,40.2,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,Brown Water.,-73.931556,40.714961,Permanent
NC2,,08/19/2009,10:20 AM,Dry,25.02,24.4,17,3,16,20.61,21.89,3.3,3.44,8.71,3.39,118.87,46.14,,,12.5,13.64,70.803,25.6054,8.44,8.27,1728.3,60.18,0,89.271,83.477,0.4,W,4,NW,1,5.15,5.56,2.5,7.35,7.39,,,E,E,2820,4000,,,88,92,0.249,,0.259,,0.122,,1.09,,1.54,,0.23,,4.2,4.6,16.8,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC3,,08/01/2012,11:06 AM,Wet,24.07,23.9,25,3,23,24.17,24.49,3.74,3.77,3.74,3.4,51.18,46.53,58.01,53.14,15.45,15.74,30.1195,12.1043,7.43,7.4,528.83,698.67,0.11,218.488,235.023,0.4,W,7,W,1,3.99,3.93,2.5,7.24,7.25,,,,,230,200,,,450,500,0.336,,0.4,,0.192,,0.866,,2.12,,0.296,,13,15,9.7,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC0,,06/02/2004,4:05 PM,Wet,19.75,17.28,12,4,13,17.97,18.66,2.61,2.56,,,1.52,1.65,,,12.7,13.77,,,,,,,,,,,,4,W,1,0,0,2,7.02,7.04,,,,,560,360,,,91,46,0.003,,1.18,,0.316,,2.12,,2.13,,0.405,,3.8,3.4,5.24,,10.1,,,4.17,,0.12,0.14,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,09/25/2012,10:47 AM,Dry,21.05,21.16,22,3,19,24.13,24.46,3.51,3.56,3.95,4.15,51.26,54,55.4,52.99,16.23,16.45,33.6883,14.0547,,,1779.8,3417.2,5.58,191.892,192.05,0.3,W,5,W,1,4.45,4.69,2,7.24,7.25,,,,,220,236,E,E,24,32,0.567,,0.446,,0.168,,0.846,,3.08,,0.248,,10,12,10.71,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC2,,12/13/2016,9:48 AM,Wet,7.93,8.11,21.0,3,19,22.72,24.69,2.4,2.6,5.77,7.74,56.3,76.9,69.9,68.5,17.66,19.17,0.98,0.80,8.06,8.14,1442,616,8,159.66,160.07,0.1,W,7.0,W,1,3.71,5.82,4.0,7.42,7.54,,,,,"1,351",865,,,600,480,0.438,,0.689,,0.160,,1.141,,2.492,2.195,0.241,,8,16,1.21,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,Milky green water,-73.935500,40.728833,Permanent
NC0,,05/06/2008,10:00 AM,Dry,,,16,,,,,,,,,,,,,,,,,,,,,,,,HW SLACK,S,3,W,1,10.88,6.33,3,7.36,7.19,,,,,,,,,4,10,0.292,,0.417,,0.08,,2.96,,1.29,,0.254,,15.6,15.2,45.5,,,,,4.5,,,,,,18.3,19.7,15.2,14,,,,,,,,,,,,,,,,,Fecal Top  and Bottom samples are questionable,-73.931556,40.714961,Permanent
NC3,,06/09/2003,11:05 AM,Wet,15.7,15.33,19,4,22,19.95,21.19,2.62,2.75,,,123.45,124.05,,,14.27,15.29,,,,,,,,,,,W-0.3,LT.AIRS,,,3.58,3.72,3.5,7.06,6.99,,,,,1560,1920,,,66,82,0.261,,0.841,,0.196,,4.03,,2.37,,0.34,,,,,,,,,5.4,,10.85,10.9,,,,,16.5,16.3,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC1,,09/14/2005,10:32 AM,Dry,24.45,23.7,19,3,18,11.55,23.32,1.92,3.59,,,11.07,1.59,41.52,18.49,5.87,14.91,22.26,1.72,8.38,8.14,2129.8,90.71,0.13,-95.3,-228.8,0.3,E,8,W,1,0,0,2,7.01,7.02,,,,,193,18,,,189,22,0.072,,2.3,,0.512,,7.54,,3.8,,0.732,,7.75,10,46.72,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC0,,08/10/2011,10:45 AM,Wet,24.63,24.79,16,3,13,19.86,22.21,3.17,3.51,2.76,1.4,37.23,19.15,64.69,68.76,12.05,13.77,35.3531,31.7894,7.71,7.62,2258.6,136.86,1.99,154.9,169.151,WEAK,SW,3,W,1,2.87,2.72,2.5,6.87,6.96,,,>,,"200,000",151000,,,5600,5900,0.1,,0.733,,0.246,,0.408,,1.76,,1.16,,8,12,3.1,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,08/13/2013,10:42 AM,Wet,23.85,23.16,23,3,18,20.86,23.24,3.26,3.54,4.96,3.26,66.11,43.61,45.55,11.52,13.01,15,15.9233,15.8653,,,151.49,128.72,0.69,,,0.3,W,calm,,1,4.41,3.87,2,7.39,7.33,,,,,3100,3400,E,E,130,80,0.569,,0.542,,0.21,,1.251,,2.48,,0.311,,11,14,15.9,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,Light Rain,-73.946167,40.737167,Permanent
NC1,,10/04/2011,10:32 AM,Wet,18.69,21.55,20,3,18,15.28,19.34,2.2,2.9,3.37,0.23,39.6,2.88,73.34,74.17,10.09,12.48,49.3468,33.2012,8.27,8.1,805.48,57.81,0.45,-135.278,-144.86,0.7,S,7,N,1,2.1,2.16,4.5,6.89,6.93,,,,,"2,300",2500,E,E,130,130,0.171,,0.922,,0.207,,1.5,,3.81,,0.278,,12,10,9.9,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC3,,08/02/2016,9:53 AM,Wet,23.95,23.77,24.0,3,24,24.38,25.01,3.8,3.8,2.95,3.12,40.2,42.6,66.8,65.0,15.64,16.16,3.49,1.83,7.23,7.26,,,,191.01,193.45,0.4,W,7.0,E,1,3.11,3.20,4.0,7.25,7.28,,,,,"2,600","1,586",E,E,110,100,0.252,,0.246,,0.149,,0.492,,2.475,2.417,0.231,,10,12,5.22,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,,07/30/2013,10:47 AM,Dry,24.06,23.82,23,3,17,22.7,22.78,3.53,3.53,4.46,3.42,60.4,46.1,27.36,18.61,14.34,14.47,17.9132,16.4329,,,1958.4,2104.9,17.4,,,0.1,E,4,WNW,1,4.27,3.89,3,7.37,7.34,,,,,64,56,<,E,4,12,0.276,,0.302,,0.18,,0.952,,2.73,,0.241,,11,11,6.2,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,,07/22/2015,10:01 AM,Dry,23.85,23.68,23,3,20,22.75,22.87,3.52,3.53,3.85,3.43,51.99,46.22,57.69,40.19,14.44,14.57,5.1876,6.1721,,,,2849.5,0.78,220.207,211.329,0.3,E,12,W,1,4.21,4.45,2,7.31,7.31,,,,,160,112,E,E,64,20,0.244,,0.339,,0.149,,0.787,,1.446,1.457,0.206,,38,35,12.3,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,,06/22/2005,11:50 AM,Dry,22.73,18.89,24,3,22,8.99,22.32,1.48,3.12,,,68.27,43.39,109.46,34.22,4.39,15.38,3.81,3.15,7.88,8.03,1595.2,82.7,0.11,104.49,73.25,0,W,6,N,1,3.85,4.05,,7.14,7.32,,,,,12,5,,,28,52,0.156,,5.15,,0.601,,11.4,,2.35,,1.16,,30,18.5,7.02,,,,,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC0,,08/23/2007,3:57 PM,Wet,22.99,22.93,16,3,16,20.92,23.25,3.21,3.53,0.51,0.12,6.74,1.64,,,13.29,15.06,11.3399,5.1806,,,994.56,68.66,0,-110.411,-81.41,0,0,0,0,1,0,0,2,6.99,7.06,,,,,"4,000",4000,,,770,1340,0.012,,1.19,,0.316,,2.21,,2.68,,0.408,,8.75,9.25,3.02,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC0,,05/18/2011,10:08 AM,Wet,13.18,12.72,19,3,15,18.59,20.14,2.31,2.47,3.3,2.99,35.3,31.96,33.12,78.9,13.69,14.96,30.5485,5.1252,7.2,7.2,778.09,,,192.376,207.218,HW SLK,,3,E,1,2.58,2.89,1,6.74,6.77,,,,,"66,000",9000,E,E,7100,1600,0.301,,0.79,,0.134,,1.84,,1.164,,0.263,,4,6,6.2,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,06/12/2012,10:57 AM,Dry,20.7,20.24,22,3,17,21.85,22.33,3.18,3.22,2.76,3.3,34.96,41.62,,,14.59,15.07,12.8234,3.186,,,,,,,,0.7,N,6,S,1,4.24,4.57,5,7.31,7.32,,,,,192,60,E,E,32,24,0.294,,0.362,,0.151,,0.98,,2.08,,0.246,,7,10,4.6,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC0,,07/14/2010,10:54 AM,Wet,22.97,22.63,18,3,16,21.61,23.57,3.3,3.55,1.79,1.3,23.69,17.3,57.27,69.22,13.82,15.39,30.5562,21.5319,7.04,7.12,782.2,27.88,0,191.996,211.021,WEAK,S,CALM,,1,1.95,2.93,1.5,6.83,6.89,,,E,E,"200,000",200000,E,E,20000,12200,0.166,,0.634,,0.192,,1.585,,1.18,,0.364,,4.6,6.4,16.6,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC2,,06/26/2012,11:55 AM,Wet,22.14,22.2,15,3,14,20.18,22.04,3.05,3.31,3.84,1.73,49.55,22.54,,,12.96,14.35,67.7367,19.3628,,,,,,,,0.6,E,13,NW,1,3.49,3.23,2,7.14,7.14,,,,,16000,14000,,,660,580,0.296,,0.516,,0.163,,1.384,,1.92,,0.308,,7,7,4.3,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,06/23/2010,11:46 AM,Dry,21.35,20.8,12,3,11,22.1,22.34,3.27,3.26,2.85,2.76,36.75,35.26,40.08,41.59,14.6,14.93,61.3451,55.5388,7.25,7.19,1106.6,53.9,-0.39,115.034,191.295,WEAK,S,4,N,1,3.46,3.8,2,7.01,7.05,,,E,E,"4,000",4000,,,860,670,0.112,,0.579,,0.126,,1.406,,1.66,,0.353,,7.6,4.4,24.9,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC0,,08/17/2016,9:14 AM,Wet,27.90,27.71,14.0,3,10,22.20,22.52,3.7,3.8,4.12,3.67,59.5,52.9,56.0,58.1,12.83,13.13,15.50,12.07,7.18,7.16,,,,190.07,189.60,0.1,S,9.0,W,1,3.50,3.95,2.5,7.24,7.22,,,,,"1,063","2,100",E,E,150,160,0.208,,1.092,,0.224,,1.515,,2.934,2.930,0.425,,9,10,18.20,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,Aeration on,-73.931556,40.714961,Permanent
NC3,,10/02/2012,10:54 AM,Dry,20.52,20.59,26,3,25,23.6,24.38,3.4,3.51,4.32,4.47,55.17,57.55,53.06,58.79,15.96,16.54,61.9565,5.5276,,,671.86,782.04,0.47,161.065,159.774,0.5,W,CALM,,1,5.81,5.35,1.5,7.37,7.35,,,,,236,104,E,E,36,36,0.612,,0.358,,0.162,,0.639,,2.65,,0.246,,10,10,23.7,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,,07/15/2015,9:56 AM,Dry,22.8,22.31,25,3,22,22.29,23.23,3.39,3.48,4.47,3.75,58.99,49.4,56,52.81,14.46,15.18,12.0449,4.3873,,,,687.29,0.12,194.612,189.229,weak,W,calm,,1,5.08,4.56,2.5,7.25,7.25,,,>,>,"20,000",20000,,,1160,2020,0.243,,0.729,,0.138,,0.877,,1.246,1.326,0.223,,21,25,25.4,,,,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,D,03/10/2010,10:44 AM,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98,12.96,,,,,,,,15,,E,,8,,0.246,,0.254,,,,1.38,,0.416,,0.123,,10.4,9.2,53.8,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC2,,08/14/2012,10:40 AM,Dry,25.76,25.55,17,3,14,23.77,24.2,3.81,3.86,2.63,1.26,37.09,17.74,33.25,59.74,14.66,15.04,70.5081,24.5504,7.42,7.25,878.4,1198.5,1.17,107.696,108.765,0.1,W,CALM,,1,6.6,6.98,2,7.65,7.77,,,,,176,245,E,E,8,12,0.17,,0.242,,0.173,,1.017,,1.57,,0.36,,11,8,58,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC2,,09/16/2009,10:24 AM,Dry,22,21.95,16,3,14,21.9,22.65,3.28,3.38,6.11,3.94,79.53,51.51,,,14.3,14.88,62.3112,26.1187,8.52,8.22,244.16,9.54,0,71.086,66.316,0.6,W,7,E,1,5.64,4.86,2.5,7.34,7.27,,,E,E,90,64,E,E,20,24,0.312,,0.414,,0.135,,1.78,,2.37,,0.27,,6.2,6.8,27.6,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,07/29/2009,9:58 AM,Wet,23.35,22.4,14,3,11,20.69,21.29,3.2,3.22,11.01,4.97,145.84,64.94,,,13.03,13.73,74.7704,62.2459,8.41,7.72,992.34,28.36,0,267.721,274.962,WEAK,N,4,S,1,8.86,4.16,2,7.36,7.46,,,E,,170,210,E,E,100,50,0.042,,0.18,,0.035,,1.47,,0.234,,0.235,,5.4,10.4,74.7,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,07/30/2008,10:53 AM,Dry,24.54,23.22,23,4,19,21.93,23.17,3.46,3.54,12.62,3.13,171.85,41.99,,,13.63,14.93,68.3003,8.0385,,,1297.15,44.78,0,,,0.5,W,3,SE,1,8.48,9.21,2,7.78,7.57,,,,,,,,,4,20,0.126,,0.146,,0.101,,1.88,,0.646,,0.26,,13.6,7.2,71.28,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,Fecal Top  and Bottom samples are questionable,-73.946167,40.737167,Permanent
NC3,,06/19/2012,10:53 AM,Dry,21.24,20.57,25,3,22,21.21,22.06,3.13,3.2,3.94,3.94,50.29,49.92,,,13.97,14.78,31.4708,4.6562,,,,,,,,WEAK,W,7,SSW,1,5.74,5.13,4,7.29,7.3,,,,,164,35,E,<,12,4,0.364,,0.382,,0.133,,0.955,,2.53,,0.146,,7,5,11.9,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC0,,08/15/2007,10:46 AM,Dry,24.31,23.72,16,4,14,22.36,23.45,3.5,3.61,1.04,0.07,14.2,0.92,,,14.02,15,28.7332,2.7814,,,1725.7,33.43,0,-208.104,-223.865,0,S,4,W,1,0,0,1.5,7.07,7.11,,,,,96,56,,,254,254,0.004,,1.144,,0.365,,2.07,,2.7,,0.462,,7.25,5.75,12.71,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC0,,09/10/2009,10:05 AM,Dry,22.39,22.4,17,3,15,21.47,21.47,3.25,3.25,4.79,4.6,62.67,60.15,,,13.87,13.87,28.3125,27.6535,8.11,8.09,507.58,26.47,0.02,123.649,123.619,0.3,S,8,E,1,4.88,4.85,5.5,6.99,7.02,,,E,E,28,40,E,E,4,16,0.276,,0.596,,0.197,,1.63,,2.9,,0.323,,7,3.4,26.8,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC0,,09/13/2011,10:19 AM,Dry,22.99,22.63,19,3,15,12.41,14.4,1.99,2.27,2.64,0.87,33.08,11.02,71.78,75.16,6.89,8.48,40.1034,34.5328,8.12,8.01,1806.6,115.45,3.78,157.106,168.214,HW SLK,,CALM,,1,2.83,2.42,3.5,6.85,6.82,,,,,"1,940",1760,E,E,32,48,0.087,,0.685,,0.208,,1.5,,2.94,,0.306,,4,6,5.3,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC2,,05/18/2011,10:29 AM,Wet,14.21,12.85,22,3,19,15.37,20.87,1.99,2.56,6.08,5.49,65.03,59.17,38.13,72.17,11.06,15.51,24.9411,9.159,7.51,7.47,612.99,,,203.039,219.275,0.5,W,5,E,1,5.21,5.87,1.5,7.07,7.08,,,,,"14,000",15000,,,3900,5400,0.324,,0.653,,0.109,,1.536,,1.119,,0.211,,2,4,6.7,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,07/06/2016,9:25 AM,Wet,22.82,22.48,13.0,3,10,21.52,22.01,3.3,3.3,3.12,3.16,41.1,41.4,70.7,70.4,13.79,14.25,2.67,4.21,6.93,6.94,,,,274.96,301.87,WEAK,0.0,2.0,E,1,3.55,3.70,3.5,7.08,7.09,,,,,"5,200","4,200",,,200,210,0.138,,0.784,,0.154,,1.159,,2.497,2.450,0.300,,4,4,3.51,,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,Aeration system on between NC0-NC1; Brownish water.,-73.931556,40.714961,Permanent
NC2,,07/01/2010,11:11 AM,Dry,22.71,22.29,19,3,17,22.68,23.27,3.43,3.48,5.36,3.16,71.01,41.72,62.92,70.15,14.7,15.26,22.8,7.7139,7.63,7.37,1884.2,163.51,3.17,225.252,231.249,0.2,E,8,N,1,5.37,4.73,3.5,7.49,7.37,,,,,33,35,<,<,4,4,0.193,,0.183,,0.121,,0.893,,1.32,,0.229,,9.6,12.6,16.9,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC3,,06/02/2004,4:20 PM,Wet,19.21,17.46,20,4,23,18.88,19.77,2.7,2.71,,,65.63,45.72,,,12.76,13.04,,,,,,,,,,,,9,W,1,5.2,4.9,2.5,7.32,7.33,,,,,1487,1620,,,440,236,0.353,,0.57,,0.129,,1.57,,1.22,,0.238,,10.6,32,17.9,,50.3,,,4.26,,5.41,3.88,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
